location,segment,date,starttime,endtime,duration
DS-D43,15,2016-07-24,08:32,08:35,3
DS-D43,15,2016-07-24,08:38,08:41,3
DS-D43,15,2016-07-24,08:42,08:44,1
DS-M38,6,2016-07-24,08:44,08:47,3
DS-D43,15,2016-07-24,08:45,08:46,1
DS-M38,6,2016-07-24,08:48,09:06,18
DS-D43,15,2016-07-24,08:48,08:50,2
DS-M38,6,2016-07-24,08:48,08:50,2
DS-M38,6,2016-07-24,08:51,09:05,14
DS-D43,15,2016-07-24,08:52,08:53,1
DS-D43,15,2016-07-24,08:53,08:54,0
DS-D43,15,2016-07-24,08:55,08:55,0
DS-D43,15,2016-07-24,08:57,08:59,1
DS-D43,15,2016-07-24,09:00,09:02,2
DS-M61A,3,2016-07-24,09:01,09:07,6
DS-D43,15,2016-07-24,09:05,09:06,0
DS-M61A,3,2016-07-24,09:08,09:09,0
DS-D43,15,2016-07-24,09:09,09:10,1
DS-D43,15,2016-07-24,09:13,09:14,1
DS-M38,6,2016-07-24,09:16,09:17,1
DS-D43,15,2016-07-24,09:18,09:19,0
DS-M66,3,2016-07-24,09:52,09:55,2
DS-M66,3,2016-07-24,09:55,09:57,1
DS-M10,9,2016-07-24,10:49,10:51,1
DS-M10,9,2016-07-24,10:50,10:51,1
DS-M90 & DS-M91 (NBPS),3,2016-07-24,12:00,08:55,535
Wilmette Gate,30,2016-07-24,12:01,03:40,219
"DS-D44,45",15,2016-07-25,12:00,12:10,10
DS-D48,15,2016-07-25,12:00,12:11,11
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-08-12,06:35,10:40,965
DS-M90 & DS-M91 (NBPS),3,2016-08-12,08:29,11:26,177
DS-M90 & DS-M91 (NBPS),3,2016-08-13,12:32,02:31,119
DS-D34-AI,23,2016-08-18,07:00,08:05,65
DS-D34-AI,23,2016-08-20,08:40,11:30,170
CDS-45,20,2016-08-20,09:13,12:39,206
DS-M90 & DS-M91 (NBPS),3,2016-08-20,09:14,03:00,346
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-08-20,09:30,08:25,655
CDS-C-1,20,2016-08-20,10:04,10:34,30
DS-D34-AI,23,2016-08-27,06:30,11:30,300
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-08-27,07:54,12:52,298
